id,department,project_name,budget_verdict,budget_detail,corrected_v11,classification_verdict,classification_detail,reclassified_v11,name_match,name_detail,ai_relevance,source
106,과학기술정보통신부,대구경북과학기술원 시설 지원(R&D),match,"PDF 예산총괄표: 16,101 / 14,150 / 14,150 / 10,742 / 11,707 / △2,443 / △17.3 — JSON 7개 필드 전부 일치(음수 △ 표기 확인).",,partial,"사업 본질은 '교육·연구시설의 유지보수 및 건축비'(SafeCampus, 시설보수, D-센서실험시설 증축, 도심형캠퍼스, 차세대대학정보시스템). ai_domains '디지털전환(AX)'는 산업AX혁신허브구축(965) 및 AI·클라우드 기반 차세대통합정보시스템(4,074)에만 국한되어 사업 전체를 대표하지 못함. '교육/인재' 또는 '시설/인프라' 도메인 누락.",Y,True,JSON '대구경북과학기술원 시설 지원(R&D)' = PDF '대구경북과학기술원 시설 지원(R&D) (2231-425)'.,partial,rechecked
107,과학기술정보통신부,대구경북과학기술원 연구 운영비지원(R&D),match,"PDF 예산총괄표: 88,701 / 97,697 / 101,447 / 115,367 / 116,367 / 14,920 / 14.7 — JSON 7개 필드 전부 일치.",,partial,"'R&D 지원' 단독 분류는 불충분. 2026 산출근거상 학사사업비 18,372(학사지원비 4,000, 과학기술 콘텐츠·정보전산 4,026, 창업인재 양성 등), AI국가대표양성(InnoCORE) 13,125, AI 전사 양성사업 1,610 → '교육/인재' 도메인 누락, AI 도메인도 누락.",Y,True,JSON '대구경북과학기술원 연구 운영비지원(R&D)' = PDF '대구경북과학기술원 연구운영비 지원(R&D) (2231-402)'.,partial,rechecked
111,과학기술정보통신부,데이터경제인프라구축,mismatch,"PDF p882 지출계획 총괄표: 84,615 / 46,714 / 46,714 / 33,511 / 33,511 / △13,203 / △28.3%. JSON은 change_rate=null만 불일치(나머지 6개 필드 및 change_amount -13,203 일치).",Y,appropriate,"국가데이터인프라 구축·확산, AI 허브 운영(학습용데이터 통합제공), 위원회 운영지원, 데이터산업 동향분석 → '데이터' 적정. '디지털전환(AX)'은 다소 느슨하나 수용 범위.",,True,"JSON '데이터경제인프라구축' = PDF '(44) 데이터경제인프라구축 (2604-301)'. JSON code '2604-301'은 id=112와 중복이나 PDF 원문 자체가 두 사업 모두 2604-301로 표기(전자는 정보통신진흥기금, 후자는 방송통신발전기금).",core,rechecked
112,과학기술정보통신부,데이터기반산업경쟁력강화,mismatch,"PDF p893 지출계획 총괄표는 2개 행: 민간경상보조 11,960/10,467/10,467/9,119/9,119/△1,348/△12.9, 사업출연금 3,080/1,330/1,330/1,280/1,280/△50/△3.8. JSON은 '사업출연금' 행만 반영. 사업 전체 합계는 2024 15,040, 2025 11,797, 2026 10,399. 따라서 2024_settlement(3,080 vs 15,040), 2025_original·supplementary(1,330 vs 11,797), 2026_request·budget(1,280 vs 10,399), change_amount(△50 vs △1,398) 모두 과소. sub_projects의 '민간경상보조 b2026=12.9'는 증감률(△12.9)을 금액으로 오파싱.",Y,appropriate,"데이터 문제해결은행, 마이데이터 기반조성, 데이터 안심구역, 데이터·AI 활용지원 인프라 → ai_domains '데이터' 적정. 다만 내역사업명이 '민간경상보조' 하나로만 파싱돼 실제 내역(데이터 유통·활용 생태계 조성 / 데이터 선도 및 활성화 기반구축)이 누락된 구조적 결함 있음.",,True,JSON '데이터기반산업경쟁력강화' = PDF '(31) 데이터기반산업경쟁력강화 (2604-301)'.,partial,rechecked
113,과학기술정보통신부,데이터센터 네트워크인프라 기술 선도사업(R&D),match,"- / - / - / 7,000 / 7,000 / 7,000 / 순증 일치",,partial,"'LLM/언어모델'은 부적절, '통신/네트워크' 누락(데이터센터 AI 네트워킹 인프라 기술)",Y,True,,partial,first_pass
115,과학기술정보통신부,동대구 벤처벨리 AI테크포트 구축,match,"요구안 3,000 / 본예산 3,000 / 증감 순증 / 순증 — 증감액 null 타당",,appropriate,AI 교육·체험 거점 성격이라 '교육/인재' 타당(지역·스마트도시 도메인 추가 여지),,False,PDF '동대구벤처밸리 AI 테크포트' vs JSON '동대구 벤처벨리 AI테크포트 구축' — '벤처벨리' 오타 및 '구축' 추가,core,first_pass
117,과학기술정보통신부,디지털 질서 기반 구축 및 글로벌 확산 지원,match,"3,800/5,757/5,757/26,993/27,643/21,886/380.2 일치",,partial,"'AI안전/신뢰' 도메인 누락(안전한 AI활용 기반조성 10,100, AI신뢰성 기반 조성 2,096)",Y,True,,core,first_pass
118,과학기술정보통신부,디지털 혁신 기술 기반 K-CareNetwork,mismatch,"PDF p941 예산총괄표: 4,000 / 6,000 / 6,000 / 5,600 / 5,600 / △400 / △6.7%. JSON은 change_rate=null만 불일치(나머지 6개 필드 및 change_amount -400 일치).",Y,appropriate,'개인 라이프로그·의료 데이터를 활용한 AI기술기반 개인별 맞춤형 디지털치료기기 개발·실증' → ai_domains '의료/바이오' 및 ai_tech '신약/의료AI' 적정. '디지털전환(AX)'는 부수적이나 허용 범위. 내역사업 단일(디지털치료기기 개발·실증)로 rnd_stage '실증/시범' 타당.,,True,"JSON '디지털 혁신 기술 기반 K-CareNetwork' = PDF '(301) 디지털 혁신 기술 기반 K-CareNetwork'. JSON code '2233-336'은 PDF 사업명 헤더와 동일하나, PDF 사업코드 정보표는 2600-2601-374(AI기술개발(일반))로 기재되어 원문 내부 불일치 존재.",core,rechecked
120,과학기술정보통신부,디지털배움터(세종),match,"PDF p.954 총괄표: 디지털배움터 -,-,-,816,816,816,순증. JSON(null,null,null,816,816,816,null) 일치. change_rate는 PDF가 '순증' 문자열이므로 null 타당",,wrong,ai_domains=['LLM/언어모델']은 근거 없음. 근거법이 지능정보화기본법 제45조(정보격차 해소)·제50조(정보격차해소교육)이며 내용은 전 국민 AI·디지털 교육·디지털포용. '교육/인재'(디지털포용/정보격차)가 타당,Y,True,PDF 사업명 '(18) 디지털배움터(세종)(1945-304)' = JSON name/code 일치,partial,rechecked
121,과학기술정보통신부,디지털배움터(자율),match,"PDF p.960 총괄표: -,-,-,38,121,38,121,38,121,순증. JSON과 일치. change_rate null 타당('순증')",,wrong,'LLM/언어모델' 부적절. 실제는 디지털포용·정보격차해소 AI·디지털 교육 → '교육/인재' 도메인이 핵심,Y,True,'(1) 디지털배움터(자율)(1945-302)' 일치. 시행주체 15개 광역시·도(세종·제주 제외),partial,rechecked
122,과학기술정보통신부,디지털배움터(제주),match,"PDF p.966 총괄표: -,-,-,2,169,2,169,2,169,순증. JSON과 일치",,wrong,'LLM/언어모델' 부적절. '교육/인재'(디지털포용·정보격차해소 교육) 누락,Y,True,'(1) 디지털배움터(제주)(1945-302)' 일치. 시행주체 제주특별자치도,partial,rechecked
124,과학기술정보통신부,디지털선도기술 핵심인재양성(R&D),match,"change_rate: JSON 21.0 vs PDF 20.98(반올림 차이), 나머지 6개 필드 일치",,partial,'통신/네트워크'는 사업 내용(ICT 석·박사 인재양성)과 직접 연관 약함,Y,True,띄어쓰기 차이만 존재,partial,first_pass
127,과학기술정보통신부,디지털트윈 융합 의료혁신 선도사업,match,"PDF(2,400/1,680/1,680/2,400/2,400/720/42.9)와 일치",,partial,'건설/스마트시티' 부적절(의료기기 디지털트윈 기반구축 사업),Y,True,,partial,first_pass
128,과학기술정보통신부,디지털헬스케어 기반 AI 융합혁신 센터 구축,match,"PDF p.1021 총괄표: -,-,-,3,500,3,500,순증,순증. JSON change_amount/change_rate null은 PDF '순증' 표기 대응이므로 허용",,partial,의료/바이오·피지컬AI/디바이스·로봇은 타당하나 단위사업이 'SW융합인력양성(균특)'이고 핵심이 버티컬AI·피지컬AI 통합 '교육'이므로 '교육/인재' 누락. 'AI반도체'는 GPU·NPU 실습환경 언급 정도로 근거 약함,Y,True,PDF 표제는 '(28) 디지털헬스케어기반 AI 융합혁신 허브 조성(2232-305)'로 JSON명('…센터 구축')과 표기 차이. 다만 사업코드 체계 명칭란은 '디지털헬스케어기반 AI 융합혁신 센터 구축'으로 동일 사업 확인,core,rechecked
131,과학기술정보통신부,민관협력 기반 AI휴머노이드 원천기술고도화(R&D),match,"PDF p.1050 총괄표: -,-,-,6,400,6,400,6,400,순증. JSON과 일치",,wrong,"ai_domains=['LLM/언어모델'] 오류. 체화AI 휴머노이드, VHLA(시각-촉각-언어-행동) 모델, 국가첨단전략기술 '로봇' 분야 지정 → '로봇'/'피지컬AI/디바이스'가 타당. ai_tech '피지컬/휴머노이드'는 적절",Y,True,'(68) 민관협력 기반 AI 휴머노이드 원천기술 고도화(R&D)(1159-447)' 일치,core,rechecked
132,과학기술정보통신부,바이오.의료기술개발(R&D),match,"PDF p.1056 총괄표: 304,292 / 361,072 / 361,072 / 434,276 / 442,976 / 81,904 / 22.7. JSON 7개 필드 모두 일치",,wrong,"ai_domains=['교육/인재']는 명백한 오분류. '의료/바이오'가 핵심이며 내역 ②인공지능바이오(60,923백만원) 고려 시 '데이터'/AI 융합 추가 타당",Y,True,"'바이오·의료기술개발(R&D)(1138-401)' 일치. 다만 sub_projects 파싱 오류('바이오·의료기술'/'개발(R&D)'로 분절, 실제 내역은 차세대바이오·인공지능바이오·뇌과학 등 19개)",partial,rechecked
133,과학기술정보통신부,반도체원천기술개발사업(R&D),match,"PDF(40,707/65,011/65,011/68,808/68,808/3,797/5.8)와 일치",,partial,"'교육/인재'는 부수적 내용에 불과, 반도체 소재·공정·패키징 원천기술이 본체",Y,True,,partial,first_pass
138,과학기술정보통신부,사람중심인공지능핵심원천기술개발(R&D),match,"PDF p.1105 총괄표: 45,075 / 42,860 / 42,860 / 42,860 / 42,860 / - / -. 증감액·증감률이 '-'이므로 JSON null 타당. 내역(AI학습능력개선 17,701, AI활용성개선 25,159)도 일치",,partial,'교육/인재'는 부적절(소관과가 디지털인재양성과일 뿐 사업 내용은 AI 학습능력·활용성 개선 핵심원천기술개발). '데이터'/'데이터·MLOps'는 부분 타당하나 핵심은 AI 원천기술(기초연구),Y,True,'사람중심인공지능핵심원천기술개발(R&D)(2601-312)' 일치,core,rechecked
149,과학기술정보통신부,실세계능동형에이전틱AI기술개발(R&D),match,"PDF(-,-,-,6,000,6,000,순증,순증)와 일치",,appropriate,,,False,JSON '실세계능동형에이전틱AI기술개발' vs PDF '실세계능동행동형에이전틱AI기술개발' — '행동' 누락,core,first_pass
154,과학기술정보통신부,울산과학기술원 연구 운영비 지원(R&D),match,"PDF p.1225 총괄표: 85,922 / 90,160 / 97,660 / 126,289 / 126,289 / 36,129 / 40.1. JSON 7개 필드 모두 일치(2025 추경 97,660은 AI 국가대표 양성 InnoCORE 7,500 추경 반영분)",,partial,"'R&D 지원'(기관운영비·기관고유사업비 출연)은 타당하나, 2026년 증액의 주요 원인이 AI 국가대표 양성(InnoCORE) 26,250백만원 및 신규 AI 전사양성사업(AI거점대학) 2,650백만원이므로 '교육/인재' 도메인 누락",Y,True,'울산과학기술원 연구 운영비 지원(R&D)(2231-403)' 일치,partial,rechecked
155,과학기술정보통신부,융합서비스 글로벌시장 진출지원,match,"PDF(7,763/17,263/22,663/42,300/45,150/22,487/99.2)와 일치",,partial,"'문화/콘텐츠', '제조/스마트팩토리'는 발췌된 내역사업(해외실증·바우처·파트너십)과 직접 연관 약함",Y,True,,partial,first_pass
159,과학기술정보통신부,인간인지기반 AI 핵심원천기술개발(R&D),match,"PDF(-,-,-,10,000,10,000,10,000,순증)와 일치",,partial,'LLM/언어모델'은 부정확(뇌 인지구조 모사 차세대 AI 원천기술로 AGI/범용AI에 해당),Y,True,,core,first_pass
160,과학기술정보통신부,인간지향적차세대도전형AI기술개발(R&D),match,"PDF(-,6,050/6,050/7,000/7,000/950/15.7)와 일치",,partial,'LLM/언어모델'은 부정확(AGI 지향 차세대 범용 AI 도전형 R&D),Y,True,,core,first_pass
163,과학기술정보통신부,인공지능융합혁신인재양성(R&D),match,"PDF p.1306 총괄표: 10,500 / 13,500 / - / 21,000 / 21,000 / 7,500 / 55.5. JSON 7개 필드 일치. 내역(인공지능융합혁신인재양성 6,000 + 인공지능혁신인재양성 15,000 = 21,000)도 일치",,partial,핵심 도메인 '교육/인재' 누락. 'AI혁신(AX: AI Transformation) 고급인재' 표현 때문에 디지털전환(AX)만 표기된 것으로 보이나 사업 본질은 산학 공동 AI 인재양성,Y,True,'인공지능융합혁신인재양성(R&D)(2232-302)' 일치,core,rechecked
164,과학기술정보통신부,인공지능첨단유망기술개발(R&D),mismatch,"PDF p.1313 총괄표: 7,000 / 6,300 / 6,300 / 6,000 / 6,000 / △300 / △4.8%. JSON change_amount=-300은 일치하나 change_rate가 null로 누락(정답 -4.8). 나머지 6개 필드는 일치",Y,appropriate,AI 기반 과학·공공·산업 난제해결 원천 R&D로 'R&D 지원' 분류 타당,,False,JSON name='인공지능첨단유망기술개발(R&D)'이나 PDF 총괄표 사업명은 '인공지능첨단원천유망기술개발(R&D)'로 '원천' 누락. 코드 2601-347은 동일하므로 동일 사업이나 명칭 표기 불일치,core,rechecked
170,과학기술정보통신부,"정보보호핵심원천기술개발(R&D,정보화)",mismatch,"PDF p.1362 '가. 지출계획 총괄표': 107,570 / 99,335 / 99,335 / 107,415 / 107,415 / 8,080 / 8.1%. JSON change_rate가 null로 누락(정답 8.1). 나머지 6개 필드 및 4개 내역사업 금액 모두 일치",Y,partial,"'보안/사이버'는 정확. '디지털전환(AX)'은 내역(데이터·네트워크보호, 취약점 대응·신산업 융합보호, 공공서비스 보호강화, 사이버보안 국제협력)에 직접 근거가 없어 과잉 부여",Y,True,"JSON '정보보호핵심원천기술개발(R&D,정보화)'(2331-304), PDF 총괄표는 '정보보호핵심원천기술개발사업'. 실질 동일",partial,rechecked
173,과학기술정보통신부,제조업 AI융합 기반 조성,match,,,partial,'제조/스마트팩토리' 도메인 누락(제조데이터 기반 AI융합 솔루션 개발·실증),Y,True,,core,first_pass
174,과학기술정보통신부,지능형 홈 산업 육성,mismatch,"PDF p.1421 총괄표: 3,900 / 3,900 / - / 3,360 / 3,360 / △540 / △13.8%. JSON change_amount=-540은 일치하나 change_rate가 null로 누락(정답 -13.8). 2025 추경 '-' → null도 일치",Y,appropriate,"홈 IoT 기기 연결·AI 기반 고체감 홈서비스, 디바이스 기업 글로벌 진출 지원 → '피지컬AI/디바이스' 타당",,True,"'지능형 홈 산업 육성'(2033-378) 일치. 내역(실증확산 1,960 / 기반조성 1,400)도 일치",partial,rechecked
175,과학기술정보통신부,지속가능한 데이터센터 산업 발전 지원,match,,,partial,'데이터'보다 클라우드/컴퓨팅(인프라)이 적합,Y,True,,partial,first_pass
176,과학기술정보통신부,지역거점 AX혁신기술개발(R&D),match,"PDF 증감 '-', 증감률 '순증' → JSON null 처리 타당",,partial,"'LLM/언어모델','문화/콘텐츠'는 근거 없음(AX 전략분야는 완전자율로봇·바이오헬스케어)",Y,True,,core,first_pass
177,과학기술정보통신부,지역디지털 인재양성,match,,,partial,'피지컬AI/디바이스'는 부적절(초중등~취창업 SW·AI 교육 사업),Y,True,,partial,first_pass
178,과학기술정보통신부,지역특화 AI 공간컴퓨팅 육성사업,match,"PDF 총괄표 값(1,500/1,500/1,500/순증)과 일치",,partial,'교통/모빌리티'는 근거 약함; AR·디지털콘텐츠(공간컴퓨팅) 도메인이 적합,Y,True,,core,first_pass
198,과학기술정보통신부,한국과학기술원 연구 운영비 지원(R&D),match,"PDF p.1598 총괄표(207,269 / 218,356 / 233,356(추경A) / 287,242(요구안) / 297,077(본예산B) / 78,721 / 36.1)와 JSON 7개 필드 전부 일치.",,partial,"ai_domains가 'R&D 지원' 단독. 그러나 소관이 미래인재정책국 미래인재양성과이고, 학사사업비 42,351·창의적인재양성 특성화교육 15,371·AI 국가대표 양성(InnoCORE) 52,500·AI 전사양성사업 4,450·InnoCORE Link KAIST 1,950·충북 AI BIO 과학영재학교 152 등 인재양성 비중이 매우 큼 → '교육/인재' 누락. 1차 판정과 동일.",Y,True,JSON '한국과학기술원 연구 운영비 지원(R&D)'(2231-401) = PDF '한국과학기술원 연구운영비 지원(R&D)' 일치.,partial,rechecked
202,과학기술정보통신부,한국뇌연구원 연구운영비 지원(R&D),match,"PDF p.1641 총괄표(34,814 / 37,984 / 37,984(추경A) / 40,369(요구안) / 40,369(본예산B) / 2,385 / 6.3)와 JSON 7개 필드 전부 일치.",,partial,"ai_domains 'R&D 지원' 단독. 실질은 뇌신경망·뇌질환 중점연구, 뇌발달질환 진단·치료기기 개발(2,652), 브레인 리부팅 치료제 개발(1,821) 등 명백한 의료·바이오 영역이므로 '의료/바이오' 누락. (1차 'appropriate'에서 하향)",Y,True,JSON '한국뇌연구원 연구운영비 지원(R&D)'(2231-415) = PDF '한국뇌연구원 연구운영비 지원' 일치.,partial,rechecked
208,과학기술정보통신부,한국원자력연구원 연구 운영비 지원(R&D),match,"PDF p.1695 총괄표(140,717 / 154,061 / 154,061(추경A) / 165,256(요구안) / 171,326(본예산B) / 17,265 / 11.2)와 JSON 7개 필드 전부 일치. sub_projects b2024=142,460은 결산(140,717)이 아닌 예산액 기준이나 총괄표 필드 자체는 정확.",,partial,ai_domains 'R&D 지원' 단독. 선진원자로·핵연료·방사성폐기물·SMR 상용화 등 실질이 원자력 에너지 영역이므로 '에너지' 누락(부수적으로 '교육/인재'도 해당). (1차 'appropriate'에서 하향),Y,True,JSON '한국원자력연구원 연구 운영비 지원(R&D)'(2241-401) = PDF '한국원자력연구원 연구운영비 지원(R&D)' 일치.,partial,rechecked
217,과학기술정보통신부,"해킹바이러스 대응체계 고도화(정보화,출연)",match,,,partial,"디지털전환(AX)은 근거 부족, 보안/사이버가 핵심",Y,False,"JSON '해킹바이러스 대응체계 고도화(정보화,출연)' vs PDF '해킹바이러스 대응체계 고도화' - (정보화,출연) 접미어 추가",none,first_pass
218,과학기술정보통신부,협업지능 피지컬AI 기반 SW플랫폼 연구개발 생태계…,match,"증감·증감률 PDF 모두 '순증', JSON null 처리 타당",,appropriate,,,False,JSON project_name이 '…'로 절단됨. PDF 정식명 '협업지능 피지컬AI 기반 SW플랫폼 연구개발 생태계 조성(R&D)',core,first_pass
219,관세청,관세행정 정보관리(정보화),match,"PDF p.1802 총괄표(77,943 / 63,638 / 63,638(추경) / 63,129(정부안) / 63,129(본예산B) / △509 / △0.8)와 JSON 7개 필드 전부 일치. change_amount -509, change_rate -0.8이 PDF의 △509, △0.8과 부호 일치.",,partial,"1차의 'wrong'은 과함. 최대 내역이 '국가관세망 노후장비 교체'(19,315, 임차료 중심)로 통신망 인프라 성격이 일부 있어 '통신/네트워크'가 완전히 틀리지는 않음. 다만 사업 실질(관세정보시스템 운영·유지관리, 행정정보시스템 유지관리, 세관 정보화 지원, 전자통관)은 '행정/전자정부'가 핵심 도메인이며 이것이 누락 → partial.",Y,True,JSON '관세청_관세행정 정보관리(정보화)'(1441-500) = PDF '관세행정 정보관리(정보화)(1441-500)' 일치.,partial,rechecked
222,교육부,가상실험실습 학습콘텐츠 공유 플랫폼 구축(정보화),match,,,partial,"'문화/콘텐츠'는 학습콘텐츠 의미로 오분류 소지, VR/AR 중심이며 AI 요소는 '27년 이후 학습분석 단계",Y,True,,partial,first_pass
225,교육부,대학정보공시 제도 운영(정보화),match,"PDF p.1854 총괄표(2,936 / 2,816 / 2,816(추경A) / 10,531(요구안) / 10,531(본예산B) / 7,715 / 274.0)와 JSON 7개 필드 전부 일치.",,partial,"'교육/인재'는 고등교육 분야(고등·평생교육 지원특별회계, 프로그램 '대학교육 역량강화')라는 점에서 부분 타당하나, 사업 실질은 대학정보공시 데이터 조사·검증과 차세대 통합시스템 구축·운영(2026 9,187/10,531)이므로 '데이터' 및 '행정/전자정부'가 더 정확. 1차 판단과 동일 취지.",Y,True,JSON '교육부_대학정보공시 제도 운영(정보화)'(2268-300) = PDF '(9) 대학정보공시 제도 운영(정보화)(2268-300)' 일치.,partial,rechecked
232,국가데이터처,통계교육지원,match,"PDF p.1933 총괄표(1,939 / 1,915 / 1,915(추경) / 2,197(요구) / 2,148(본예산B) / 233 / 12.2)와 JSON 7개 필드 전부 일치.",,partial,"ai_domains '데이터' 단독. 통계법 제8조·공무원인재개발법 제4조 근거의 전문교육훈련 사업(집합 99개 157회, 이러닝 127개)이므로 '교육/인재' 누락. 1차 판정과 동일.",Y,True,JSON '국가데이터처_통계교육지원'(1032-304) = PDF '통계교육지원'(소관 통계인재개발원 교육운영과) 일치.,partial,rechecked
233,국가데이터처,통계데이터 분석 및 활용 지원(정보화),match,,,partial,'LLM/언어모델'은 PDF 근거 없음. 데이터·보안(AI기반 정보보호 신기술)만 확인됨,Y,True,,partial,first_pass
234,국가데이터처,통계센터 및 교육시설 운영,match,"PDF p.1961 총괄표(7,116 / 6,362 / 6,362(추경) / 7,084(요구) / 6,942(본예산B) / 580 / 9.1)와 JSON 7개 필드 전부 일치.",,partial,"ai_domains '데이터' 단독. 통계인재개발원의 교육시설(통계센터 임차·관리 5,840, AI·디지털 학습관 983, 제주분원 119) 운영 사업이므로 '교육/인재' 누락. 1차 판정과 동일.",Y,True,JSON '국가데이터처_통계센터 및 교육시설 운영'(1032-305) = PDF '통계센터 및 교육시설 운영'(소관 통계인재개발원 교육기획과) 일치.,partial,rechecked
236,국가유산청,국가유산 지능형 첨단보존 기술개발(R&D),match,"증감률 PDF '순증', JSON null 처리 타당",,partial,"'건설/스마트시티'는 부적절, 국가유산 보존이므로 문화/콘텐츠가 적합",Y,True,,core,first_pass
238,국방부,AI응용제품 신속 상용화 지원사업(국방),match,"PDF p.1990 예산총괄표 0/0/0/0/35,000/35,000/'순증' — JSON(0,0,0,0,35000,35000,null) 일치. '26 요구안 0 / 조정안 35,000은 원문 그대로(국무회의 의결 후 반영). 총사업비 400억('26 350억+'27 50억)",,partial,"'국방/안보'(감시정찰·정보분석·군수지원)와 '디지털전환(AX)'(AX-Sprint, 인공지능전환 명시)은 정확. 그러나 '농업/식품'은 AX-Sprint 관계부처 협의회 표의 타부처 분담분야(농림·해수) 언급을 잘못 귀속한 것이고, 'LLM/언어모델'은 원문 근거 전무(AGI 각주 1회뿐). ai_tech 컴퓨터비전도 명시 근거 없이 추정",Y,True,PDF 'AI응용제품 신속 상용화 지원사업(국방)(2341-500)' = JSON 일치,core,rechecked
240,국방부,국방ICT혁신기술,mismatch,"PDF p.2006 총괄표는 추경 컬럼이 없는 6칸 구조(2024결산 '-' / 2025본예산(A) 1,000 / 2026요구 12,011 / 2026조정(B) 6,651 / 증감(B-A) 5,651 / 증감률 565.1). JSON이 한 칸씩 밀림: 2025_supplementary=12011(실제 해당없음), 2026_request=6651(실제 12,011), 2026_budget=5651(실제 6,651), change_amount=565.1(실제 5,651), change_rate=null(실제 565.1). 2024_settlement=null, 2025_original=1000만 정확. 사업개요의 '2026 사업비 6,651'과 sub_project b2026=5,651 불일치로도 교차 확인됨. 1차 판정 그대로 확인.",Y,appropriate,"'국방/안보' 적정. 다만 is_rnd=false는 오류 소지 — 근거법이 국가연구개발혁신법이고 목이 '연구개발출연금-연구개발활동비등(360-05)', 내역사업이 '국방정보화R&D'인 명백한 R&D 사업.",,True,JSON '국방부_국방ICT혁신기술'(2131-310) = PDF '(23) 국방ICT혁신기술 (2131-310)' 일치. 다만 총괄표 사업명 행은 '정보통신기반체계구축'으로 표기되어 있음(단위사업 계층 표기 차이).,core,rechecked
241,국방부,민군기술협력(R&D)(국방부),match,"총괄표 7개 값(5,962/5,896/5,896/11,973/10,776/4,880/82.8) 모두 일치",,appropriate,,,False,PDF '민군기술협력 R&D' vs JSON '민군기술협력(R&D)(국방부)' - '(국방부)' 부기 추가,partial,first_pass
242,국방부,전투발전연구,mismatch,"PDF p.2021 총괄표는 추경 컬럼이 없는 6칸 구조(2024결산 5,907 / 2025본예산(A) 7,617 / 2026요구안 9,831 / 2026조정안(B) 9,177 / 증감(B-A) 1,560 / 증감률 20.5). JSON이 한 칸씩 밀림: 2025_supplementary=9831(실제 해당없음), 2026_request=9177(실제 9,831), 2026_budget=1560(실제 9,177), change_amount=20.5(실제 1,560), change_rate=null(실제 20.5). p.2024 '전투발전연구 : (25) 7,617 → (26) 9,177백만원 +1,560백만원(+20.5%)'로 명확히 교차 확인. 1차 판정 그대로 확인.",Y,partial,"'국방/안보'는 타당하나, 프로그램/단위사업이 '군 인사 및 교육훈련 / 훈련 및 교육지원'이고 내역이 전투실험 및 연구·교리교범연구·해외교리장교 운영으로 군 교육훈련 체계 발전이 목적이므로 '교육/인재' 누락.",Y,True,JSON '국방부_전투발전연구'(2438-304) = PDF '(89) 전투발전연구 (2438-304)' 일치.,partial,rechecked
243,국방부,정보체계개발유지(정보화),mismatch,"PDF p.2032 총괄표는 추경 컬럼이 없는 6칸 구조(2024결산 184,408 / 2025본예산(A) 187,774 / 2026요구 210,446 / 2026조정(B) 183,056 / 증감(B-A) △4,718 / 증감률 △2.5). JSON이 한 칸씩 밀림: 2025_supplementary=210446(실제 해당없음), 2026_request=183056(실제 210,446), 2026_budget=-4718(실제 183,056), change_amount=-2.5(실제 △4,718), change_rate=null(실제 △2.5). 2026_budget이 음수인 것은 △4,718을 잘못 옮긴 결과이며, PDF 최근5년 사업비표의 '2026 = 183,056'과 sub_project b2026=2.5로도 밀림 확인. 1차 판정 그대로 확인.",Y,partial,"'국방/안보'는 소관 기준으로 타당하나, 사업 실질은 기획·재정, 인사·동원, 군수·시설, 전자행정 등 국방자원관리 응용체계 개발과 유지보수·상용SW 도입(근거법에 전자정부법 명시)이므로 '행정/전자정부' 누락. (1차는 appropriate로 두고 detail에서만 지적)",Y,True,JSON '국방부_정보체계개발유지(정보화)'(2131-302) = PDF '(18) 정보체계개발유지 (2131-302)' 일치.,none,rechecked
246,국세청,국세행정지원시스템 운영(정보화),match,"PDF p.2063 예산 총괄표: 46,350 / 49,461 / 49,461(추경A) / 53,930(요구안) / 53,930(본예산B) / 4,469 / 9.0 - JSON 7개 필드 모두 일치. 1차의 'uncertain'은 발췌 범위 문제였고 전문 대조 결과 일치.",,partial,"ai_domains가 ['보안/사이버','통신/네트워크']뿐. 실제는 국세행정 전반의 정보시스템 운영(홈택스·e민원·온나라·국세법령정보 등)이므로 '행정/전자정부'가 핵심 누락. 또한 AI 전화상담(1,015백만원)·가상자산 통합분석시스템(2,600백만원)을 반영한 도메인도 없음.",Y,True,PDF '(64) 국세행정지원시스템 운영(정보화) (7133-500)' / 소관 국세청 - JSON name·code·department 일치.,partial,rechecked
248,국토교통부,AIXR기반비행장원격관제운용기술개발(R&D),match,"-/1,500/1,500/3,596/3,596/2,096/139.7 일치",,partial,"'문화/콘텐츠' 부적절(XR을 콘텐츠로 오분류), 항공·관제 성격 반영 필요",Y,True,하이픈·공백 차이만 존재(AI-XR),core,first_pass
250,국토교통부,AI 모빌리티 시범도시 조성,match,"PDF p.2105 총괄표: 2024결산 - / 2025본예산 - / 추경 - / 정부안 - / 확정 61,760 / 증감 61,760 / '순증'. JSON(2026_budget 61,760, change_amount 61,760, change_rate null=순증)과 일치. 최근5년 사업비표도 2022~2025 '-', 2026 61,760으로 확인.",,partial,"'교통/모빌리티' 타당, '건설/스마트시티'도 대도시 단위 실증도시 조성 성격상 수용 가능. 그러나 '교육/인재'는 부적절 - 내역사업 '자율주행 AI 학습센터'(720백만원)는 GPU 확보·정보화사업 ISP 등 모델 학습 인프라 설계이지 인재양성이 아님. 반면 '데이터'(주행데이터 수집·비식별화·라벨링 2,000백만원) 도메인은 누락.",Y,True,PDF '(1) AI 모빌리티 시범도시 조성 (4633-320)' 국토교통부 - JSON 일치.,core,rechecked
